movieId,imdbId,tmdbId
1,114709,862
2,113497,8844
3,113228,15602
4,114885,31357
5,113041,11862
6,113277,949
7,114319,11860
8,112302,45325
9,114576,9091
10,113189,710
11,112346,9087
12,112896,12110
13,112453,21032
14,113987,10858
15,112760,1408
16,112641,524
17,114388,4584
18,113101,5
19,112281,9273
20,113845,11517
21,113161,8012
22,112722,1710
23,112401,9691
24,114168,12665
25,113627,451
26,114057,16420
27,114011,9263
28,114117,17015
29,112682,902
30,115012,37557
31,112792,9909
32,114746,63
33,114952,78802
34,112431,9598
35,112637,47018
36,112818,687
37,112286,139405
38,113442,33689
39,112697,9603
40,112749,34615
41,114279,31174
42,112819,11443
43,114272,35196
44,113855,9312
45,114681,577
46,113347,11861
47,114369,807
48,114148,10530
49,114916,8391
50,114814,629
51,109950,117164
52,113819,11448
53,110299,49133
54,112499,26441
55,113158,97406
56,113541,124057
57,113321,9089
58,110877,11010
59,112714,99040
60,113419,11359
61,116260,17182
62,113862,2054
63,116126,10607
64,118002,19760
65,115683,9536
66,116839,11525
67,114753,40628
68,113149,4482
69,113118,10634
70,116367,755
71,113010,11859
72,113537,28387
73,113828,48750
74,115644,20927
75,115676,36929
76,114367,9102
77,113973,124626
78,112744,27526
79,116731,9623
80,112445,46785
81,114660,400
82,112379,880
83,114039,146599
84,113612,188588
85,112365,8447
86,118158,10534
87,116151,17414
88,115697,13997
89,113972,2086
90,113490,61548
92,117002,9095
93,114825,12158
94,115639,9283
95,115759,9208
96,113403,40154
97,113247,406
98,111173,45549
99,113283,63076
100,115907,11062
101,115734,13685
102,117102,47475
103,118040,2045
104,116483,9614
105,112579,688
106,110251,11907
107,117110,10874
108,112646,89333
109,113276,96357
110,112573,197
111,75314,103
112,113326,33542
113,115645,43566
114,113774,71754
115,112556,43612
116,112373,51352
117,115033,16934
118,116606,10324
119,114536,78406
120,117427,55731
121,106473,32119
122,103859,11066
123,109424,11104
124,114808,37975
125,116324,2074
126,110647,27793
127,111055,44284
128,110217,290157
129,114131,110972
130,112364,32622
131,113107,73067
132,113451,11863
133,114015,55475
134,114500,124636
135,116130,9101
136,113125,123360
137,113756,5757
138,113952,39428
139,114618,124639
140,118055,9302
141,115685,11000
142,94878,525153
143,113200,249882
144,112585,16388
145,112442,9737
146,112342,30765
147,112461,10474
148,112427,22279
149,109093,30157
150,112384,568
151,114287,11780
152,112288,34996
153,112462,414
154,61395,649
155,112495,1873
156,112541,5894
157,109370,1775
158,112642,8839
159,112688,20649
160,112715,10329
161,112740,8963
162,109508,26564
163,112851,8068
164,112857,8512
165,112864,1572
166,112887,13552
167,113044,259209
168,113071,6520
169,113114,9073
170,113243,10428
171,113464,17447
172,113481,9886
173,113492,9482
174,113500,19326
175,113540,9344
176,113677,9071
177,113690,8973
178,107447,15730
179,113729,47608
180,113749,2293
181,113820,9070
182,113851,68274
183,110604,48787
184,110620,34574
185,113957,1642
186,113986,11472
187,114095,36196
188,114194,11980
189,114241,58372
190,114323,32646
191,114345,10533
192,114435,56088
193,114436,10802
194,114478,10149
195,114496,18402
196,114508,9348
197,114534,139408
198,114558,281
199,58450,5967
200,114666,79593
201,114663,47939
202,114702,36834
203,114682,9090
204,114781,3512
205,114798,52856
206,114805,77350
207,114887,9560
208,114898,9804
209,114928,31611
210,114938,65796
211,109340,49805
212,112602,26258
213,111579,50797
214,110882,19155
215,112471,76
216,112508,11017
217,112438,37141
218,112571,9382
219,112757,6715
220,112643,18256
222,112679,22625
223,109445,2292
224,112883,1909
225,109635,8984
226,112899,61813
227,109676,4954
228,112854,62488
229,109579,10531
230,109642,11929
231,109686,8467
232,111797,10451
233,109759,20156
234,109758,18395
235,109707,522
236,113117,397
237,113097,10525
238,113028,27985
239,113198,15789
240,113303,27303
241,113089,21183
242,109771,10954
243,113199,47867
244,113234,43475
245,109906,72031
246,110057,14275
247,110005,1024
248,110066,17207
249,110116,13701
250,110006,14819
251,113360,32631
252,110099,11777
253,110148,628
254,113463,87729
255,110189,18713
256,110216,6280
257,113501,9061
258,113538,37108
259,113552,6071
260,76759,11
261,110367,9587
262,113670,19101
263,110296,49980
264,109731,17961
265,103994,18183
266,110322,4476
267,110443,11008
268,110365,47504
269,107566,32325
270,110391,43742
271,113691,28313
272,110428,11318
273,109836,3036
274,113755,40490
275,110538,24070
276,110516,8986
277,110527,10510
278,113808,17402
279,113896,38722
280,113870,8438
281,110684,11593
282,110638,1945
283,113967,39310
284,117169,109560
285,106402,56428
286,113948,63105
287,110671,131957
288,110632,241
289,110737,9058
290,110729,527
292,114069,6950
293,110413,101
294,114113,63020
295,114210,2307
296,110912,680
297,114084,41478
298,105652,25296
299,110889,40156
300,110932,11450
301,114129,30304
302,110963,10452
303,114214,12106
304,114296,161495
305,110907,3586
306,111495,110
307,108394,108
308,111507,109
309,110769,159185
310,114268,36357
311,110965,92769
312,114571,28033
313,111333,22586
314,111112,14334
315,111255,2636
316,111282,2164
317,111070,11395
318,111161,278
319,111149,9905
320,108260,87078
321,106966,12527
322,114594,20306
324,111309,36614
325,113936,27993
326,110081,31439
327,114614,9067
328,114608,9059
329,111280,193
330,114609,25066
331,111454,46797
332,114852,12122
333,114694,11381
334,111590,32636
335,114788,36141
336,114888,95963
337,108550,1587
338,114857,9271
339,114924,2064
340,111667,19855
341,109655,60855
342,110598,236
343,112435,48287
344,109040,3049
345,109045,2759
346,106339,12635
347,104779,10497
348,109348,11382
349,109444,9331
350,109446,10731
351,109484,10464
352,109504,34152
353,109506,9495
354,109450,29973
355,109813,888
356,109830,13
357,109831,712
358,113305,16295
359,110091,48992
360,110093,10879
361,110167,10660
362,110213,10714
363,107472,41647
364,110357,8587
365,107426,1689
366,111686,11596
367,110475,854
368,110478,9359
369,110588,23333
370,110622,36593
371,110771,12280
372,110950,2788
373,105226,10427
374,110989,11011
375,111054,49803
376,110997,8987
377,111257,1637
378,111256,15128
379,111438,8831
380,111503,36955
381,111693,10449
382,111742,10395
383,111756,12160
384,112443,40480
385,110455,52038
386,111048,29444
387,110399,26352
388,112570,39953
389,109454,41580
390,59170,315
391,110186,22067
392,108069,18242
393,111301,11667
394,112702,32502
395,112849,267188
396,113014,28732
397,113043,75555
398,113104,42981
399,113173,278939
400,113319,291731
401,113827,226229
402,114047,203119
403,112889,172923
404,109339,316098
405,110027,8011
406,109785,171857
407,113409,2654
408,109021,18069
409,109035,19092
410,106220,2758
411,111804,38129
412,106226,10436
413,109068,13595
414,109067,46094
415,106292,9409
416,109198,11853
417,109219,16771
418,106379,46924
419,106400,11041
420,109254,306
421,109279,14522
422,109297,26203
423,109303,178
424,109305,19819
425,109306,57834
426,106452,4722
427,106471,18215
428,106489,1607
429,109361,26391
430,106505,117553
431,106519,6075
432,109439,11310
433,109443,18658
